prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens_total,target_tokens,skipped_initial_content_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
199,66,66,dolma3,assistant,8e3c281518955797e070600ce2deb1e4989b8ebb7be0a5a51bebefcbe316c407,794,762,32,100,864,60,True
200,66,66,dolma3,tool,8e3c281518955797e070600ce2deb1e4989b8ebb7be0a5a51bebefcbe316c407,794,762,32,97,863,60,True
201,67,67,dolma3,user,ee9cfec73c1d084d787bb53a589c6568f25acf2dde7d92fc5ce2d731356f80fb,688,656,32,360,1018,325,False
202,67,67,dolma3,assistant,ee9cfec73c1d084d787bb53a589c6568f25acf2dde7d92fc5ce2d731356f80fb,688,656,32,365,1023,325,False
203,67,67,dolma3,tool,ee9cfec73c1d084d787bb53a589c6568f25acf2dde7d92fc5ce2d731356f80fb,688,656,32,362,1021,325,False
204,68,68,dolma3,user,93cbdd22b59aacbd4f90ce64f83abc98443a4d0d211b5414c9d185affe551e91,194,162,32,75,239,40,True
205,68,68,dolma3,assistant,93cbdd22b59aacbd4f90ce64f83abc98443a4d0d211b5414c9d185affe551e91,194,162,32,80,244,40,True
206,68,68,dolma3,tool,93cbdd22b59aacbd4f90ce64f83abc98443a4d0d211b5414c9d185affe551e91,194,162,32,77,243,40,True
207,69,69,dolma3,user,0e0dc24d9dbe4c53d5f509298cf4b9b924cd98c71d832c85fb4fdea746e570e6,251,219,32,39,260,5,False
208,69,69,dolma3,assistant,0e0dc24d9dbe4c53d5f509298cf4b9b924cd98c71d832c85fb4fdea746e570e6,251,219,32,44,265,5,False
209,69,69,dolma3,tool,0e0dc24d9dbe4c53d5f509298cf4b9b924cd98c71d832c85fb4fdea746e570e6,251,219,32,41,264,5,False
210,70,70,dolma3,user,2352213b0dcaf4ddf4268226da4cf603b702ac2d9f3920eedd14cbcd845a5635,125,93,32,48,143,13,True
211,70,70,dolma3,assistant,2352213b0dcaf4ddf4268226da4cf603b702ac2d9f3920eedd14cbcd845a5635,125,93,32,53,148,13,True
212,70,70,dolma3,tool,2352213b0dcaf4ddf4268226da4cf603b702ac2d9f3920eedd14cbcd845a5635,125,93,32,50,147,13,True
213,71,71,dolma3,user,94bf2c5893c0c1052314382f0869480154164b789908c8ab886545f19e43cf8b,882,850,32,131,983,96,False
214,71,71,dolma3,assistant,94bf2c5893c0c1052314382f0869480154164b789908c8ab886545f19e43cf8b,882,850,32,135,987,96,False
215,71,71,dolma3,tool,94bf2c5893c0c1052314382f0869480154164b789908c8ab886545f19e43cf8b,882,850,32,133,986,96,False
216,72,72,dolma3,user,25c0c69c8993897be348a77d27b65897ec6657373c31011473db78c1e322f143,1024,992,32,77,1071,42,True
217,72,72,dolma3,assistant,25c0c69c8993897be348a77d27b65897ec6657373c31011473db78c1e322f143,1024,992,32,82,1076,42,True
218,72,72,dolma3,tool,25c0c69c8993897be348a77d27b65897ec6657373c31011473db78c1e322f143,1024,992,32,79,1075,42,True
219,73,73,dolma3,user,36e28460bd76b847ad5f9e828c3fc4788b1767a11f498c1c9b87e0f2a02ccf9c,1024,992,32,248,1242,213,True
220,73,73,dolma3,assistant,36e28460bd76b847ad5f9e828c3fc4788b1767a11f498c1c9b87e0f2a02ccf9c,1024,992,32,253,1247,213,True
221,73,73,dolma3,tool,36e28460bd76b847ad5f9e828c3fc4788b1767a11f498c1c9b87e0f2a02ccf9c,1024,992,32,250,1246,213,True
222,74,74,dolma3,user,020a4dbec3bbef01bcfd0c3da3f4b03464a6f1ada89fb77c7b525c5e4056a5cd,1024,992,32,56,1050,21,False
223,74,74,dolma3,assistant,020a4dbec3bbef01bcfd0c3da3f4b03464a6f1ada89fb77c7b525c5e4056a5cd,1024,992,32,61,1055,21,False
224,74,74,dolma3,tool,020a4dbec3bbef01bcfd0c3da3f4b03464a6f1ada89fb77c7b525c5e4056a5cd,1024,992,32,58,1053,21,False
225,75,75,dolma3,user,13d805fbc8f3859f441caba05b21b71f8a218c29e7c8a0ec3079b4652ff1337d,225,193,32,220,415,185,True
226,75,75,dolma3,assistant,13d805fbc8f3859f441caba05b21b71f8a218c29e7c8a0ec3079b4652ff1337d,225,193,32,225,420,185,True
227,75,75,dolma3,tool,13d805fbc8f3859f441caba05b21b71f8a218c29e7c8a0ec3079b4652ff1337d,225,193,32,222,419,185,True
228,76,76,dolma3,user,d7635d67eaa7e98f4f05c64ff1cdebc88254f54b1ccf763d95942835a4ab9337,864,832,32,63,897,28,True
229,76,76,dolma3,assistant,d7635d67eaa7e98f4f05c64ff1cdebc88254f54b1ccf763d95942835a4ab9337,864,832,32,67,901,28,True
230,76,76,dolma3,tool,d7635d67eaa7e98f4f05c64ff1cdebc88254f54b1ccf763d95942835a4ab9337,864,832,32,65,901,28,True
231,77,77,dolma3,user,a8a51eae541dc96f54905b4a6498870534153c57d9a78df9191e782312c9d019,1024,992,32,35,1029,0,False
232,77,77,dolma3,assistant,a8a51eae541dc96f54905b4a6498870534153c57d9a78df9191e782312c9d019,1024,992,32,39,1033,0,False
233,77,77,dolma3,tool,a8a51eae541dc96f54905b4a6498870534153c57d9a78df9191e782312c9d019,1024,992,32,37,1032,0,False
234,78,78,dolma3,user,2b5e804ba3ad8f34a32914cf26f5bb20d4425d68bce7e8a684a68561938c7c53,837,805,32,106,913,71,False
235,78,78,dolma3,assistant,2b5e804ba3ad8f34a32914cf26f5bb20d4425d68bce7e8a684a68561938c7c53,837,805,32,111,918,71,False
236,78,78,dolma3,tool,2b5e804ba3ad8f34a32914cf26f5bb20d4425d68bce7e8a684a68561938c7c53,837,805,32,108,916,71,False
237,79,79,dolma3,user,40915ab4d52b2e3d3f5822381a75c7ed08a730f34f967a1a7fcf45746a3a87aa,706,674,32,95,771,61,False
238,79,79,dolma3,assistant,40915ab4d52b2e3d3f5822381a75c7ed08a730f34f967a1a7fcf45746a3a87aa,706,674,32,99,775,61,False
239,79,79,dolma3,tool,40915ab4d52b2e3d3f5822381a75c7ed08a730f34f967a1a7fcf45746a3a87aa,706,674,32,97,774,61,False
240,80,80,dolma3,user,b7d7a7e53700922ff31de0a62d8c2fa64c5b1a4a33bdd6f40ce4315b005dfdda,948,916,32,70,988,35,False
241,80,80,dolma3,assistant,b7d7a7e53700922ff31de0a62d8c2fa64c5b1a4a33bdd6f40ce4315b005dfdda,948,916,32,75,993,35,False
242,80,80,dolma3,tool,b7d7a7e53700922ff31de0a62d8c2fa64c5b1a4a33bdd6f40ce4315b005dfdda,948,916,32,72,991,35,False
243,81,81,dolma3,user,32bfcb378f133ede04d7763ef65494017aabe21a2871851beb8be8abe205bba7,396,364,32,92,458,58,False
244,81,81,dolma3,assistant,32bfcb378f133ede04d7763ef65494017aabe21a2871851beb8be8abe205bba7,396,364,32,97,463,58,False
245,81,81,dolma3,tool,32bfcb378f133ede04d7763ef65494017aabe21a2871851beb8be8abe205bba7,396,364,32,94,461,58,False
246,82,82,dolma3,user,ee4440c1d8da76ed0fc0e92393be5858bfc44803328dd8785c1ecf77ba38d023,767,735,32,185,922,150,False
247,82,82,dolma3,assistant,ee4440c1d8da76ed0fc0e92393be5858bfc44803328dd8785c1ecf77ba38d023,767,735,32,190,927,150,False
248,82,82,dolma3,tool,ee4440c1d8da76ed0fc0e92393be5858bfc44803328dd8785c1ecf77ba38d023,767,735,32,187,925,150,False
249,83,83,dolma3,user,60ba06da24ab2af3a6a74807ef9a1bf6776cfe3484720481053c5e85a7f4f339,908,876,32,214,1092,179,True
250,83,83,dolma3,assistant,60ba06da24ab2af3a6a74807ef9a1bf6776cfe3484720481053c5e85a7f4f339,908,876,32,219,1097,179,True
251,83,83,dolma3,tool,60ba06da24ab2af3a6a74807ef9a1bf6776cfe3484720481053c5e85a7f4f339,908,876,32,216,1096,179,True
252,84,84,dolma3,user,e39ec3bc1edf1a06d627bbc51e04082ad0cdc2431b63fd1d48a7de3ebb167017,582,550,32,71,623,36,True
253,84,84,dolma3,assistant,e39ec3bc1edf1a06d627bbc51e04082ad0cdc2431b63fd1d48a7de3ebb167017,582,550,32,76,628,36,True
254,84,84,dolma3,tool,e39ec3bc1edf1a06d627bbc51e04082ad0cdc2431b63fd1d48a7de3ebb167017,582,550,32,73,627,36,True
255,85,85,dolma3,user,5981fd5c5be5cb49006ab09f1b2e7f273ee63d3ae8dc669686032cf3225b0688,956,924,32,35,961,0,True
256,85,85,dolma3,assistant,5981fd5c5be5cb49006ab09f1b2e7f273ee63d3ae8dc669686032cf3225b0688,956,924,32,39,965,0,True
257,85,85,dolma3,tool,5981fd5c5be5cb49006ab09f1b2e7f273ee63d3ae8dc669686032cf3225b0688,956,924,32,37,965,0,True
258,86,86,dolma3,user,0971b8ee775debedd7c58b58e646e2c7bdebc97fe21eaa1fae1b556eee4bf9e6,1024,992,32,304,1298,269,True
259,86,86,dolma3,assistant,0971b8ee775debedd7c58b58e646e2c7bdebc97fe21eaa1fae1b556eee4bf9e6,1024,992,32,309,1303,269,True
260,86,86,dolma3,tool,0971b8ee775debedd7c58b58e646e2c7bdebc97fe21eaa1fae1b556eee4bf9e6,1024,992,32,306,1302,269,True
261,87,87,dolma3,user,141f3aed8fb4e39b60bbd5aca0e5d5f6e6cd82b2a0469b99d88eb25903fba410,754,722,32,84,808,49,False
262,87,87,dolma3,assistant,141f3aed8fb4e39b60bbd5aca0e5d5f6e6cd82b2a0469b99d88eb25903fba410,754,722,32,89,813,49,False
263,87,87,dolma3,tool,141f3aed8fb4e39b60bbd5aca0e5d5f6e6cd82b2a0469b99d88eb25903fba410,754,722,32,86,811,49,False
264,88,88,dolma3,user,964f219a46a26527dd23f05d03d42fea448bbbf1f4301b76f108329f66905ef8,1024,992,32,65,1059,30,True
265,88,88,dolma3,assistant,964f219a46a26527dd23f05d03d42fea448bbbf1f4301b76f108329f66905ef8,1024,992,32,70,1064,30,True
266,88,88,dolma3,tool,964f219a46a26527dd23f05d03d42fea448bbbf1f4301b76f108329f66905ef8,1024,992,32,67,1063,30,True
267,89,89,dolma3,user,91d07df80e9a1dc2a7b51db9dab028f188cb00f5e1a5ee63a3826e23da160837,546,514,32,35,551,0,True
268,89,89,dolma3,assistant,91d07df80e9a1dc2a7b51db9dab028f188cb00f5e1a5ee63a3826e23da160837,546,514,32,39,555,0,True
269,89,89,dolma3,tool,91d07df80e9a1dc2a7b51db9dab028f188cb00f5e1a5ee63a3826e23da160837,546,514,32,37,555,0,True
270,90,90,dolma3,user,93ac4d4fcaf326dc8b6e89904275aad4c09300c9d346a0c448299364ebe2edaa,302,270,32,35,307,0,True
271,90,90,dolma3,assistant,93ac4d4fcaf326dc8b6e89904275aad4c09300c9d346a0c448299364ebe2edaa,302,270,32,39,311,0,True
272,90,90,dolma3,tool,93ac4d4fcaf326dc8b6e89904275aad4c09300c9d346a0c448299364ebe2edaa,302,270,32,37,311,0,True
273,91,91,dolma3,user,05ff8fcea6309d4b023025f4067ee9e8ef12448227d08341255e6374045f0e2e,1024,992,32,71,1065,37,False
274,91,91,dolma3,assistant,05ff8fcea6309d4b023025f4067ee9e8ef12448227d08341255e6374045f0e2e,1024,992,32,76,1070,37,False
275,91,91,dolma3,tool,05ff8fcea6309d4b023025f4067ee9e8ef12448227d08341255e6374045f0e2e,1024,992,32,73,1069,37,False
276,92,92,dolma3,user,ee27618341045722c6272d3e17a10acb046ead445363974b6440a1919fb4d80a,776,744,32,87,833,52,False
277,92,92,dolma3,assistant,ee27618341045722c6272d3e17a10acb046ead445363974b6440a1919fb4d80a,776,744,32,91,837,52,False
278,92,92,dolma3,tool,ee27618341045722c6272d3e17a10acb046ead445363974b6440a1919fb4d80a,777,745,32,89,837,52,False
279,93,93,dolma3,user,28f39cc38118262cb94a147aa2c3427c2b7f1bdbcffcb56c454702f5a9b2a092,176,144,32,141,287,106,False
280,93,93,dolma3,assistant,28f39cc38118262cb94a147aa2c3427c2b7f1bdbcffcb56c454702f5a9b2a092,176,144,32,146,292,106,False
281,93,93,dolma3,tool,28f39cc38118262cb94a147aa2c3427c2b7f1bdbcffcb56c454702f5a9b2a092,176,144,32,143,290,106,False
282,94,94,dolma3,user,64546087589b51044afc7b6c50a65fc404ebc5311f919cb03b34a15339dd9853,1024,992,32,103,1097,68,True
283,94,94,dolma3,assistant,64546087589b51044afc7b6c50a65fc404ebc5311f919cb03b34a15339dd9853,1024,992,32,108,1102,68,True
284,94,94,dolma3,tool,64546087589b51044afc7b6c50a65fc404ebc5311f919cb03b34a15339dd9853,1024,992,32,105,1101,68,True
285,95,95,dolma3,user,1fcdec4853d36abb1545ea4fb823c070d57d577fa738e463df3255e66fde403b,1024,992,32,46,1040,11,True
286,95,95,dolma3,assistant,1fcdec4853d36abb1545ea4fb823c070d57d577fa738e463df3255e66fde403b,1024,992,32,51,1045,11,True
287,95,95,dolma3,tool,1fcdec4853d36abb1545ea4fb823c070d57d577fa738e463df3255e66fde403b,1024,992,32,48,1044,11,True
288,96,96,dolma3,user,b37d9adc45c8db4b6d5d7a1085a5ce3e848a9db24561bccf743d31bdab5bc764,128,96,32,173,271,139,False
289,96,96,dolma3,assistant,b37d9adc45c8db4b6d5d7a1085a5ce3e848a9db24561bccf743d31bdab5bc764,128,96,32,178,276,139,False
290,96,96,dolma3,tool,b37d9adc45c8db4b6d5d7a1085a5ce3e848a9db24561bccf743d31bdab5bc764,128,96,32,175,275,139,False
291,97,97,dolma3,user,861d726831278669a5dad71fe99e6f135cae06ce6bad5e2cb9bfafcd51b0e50d,879,847,32,295,1144,260,True
292,97,97,dolma3,assistant,861d726831278669a5dad71fe99e6f135cae06ce6bad5e2cb9bfafcd51b0e50d,879,847,32,300,1149,260,True
293,97,97,dolma3,tool,861d726831278669a5dad71fe99e6f135cae06ce6bad5e2cb9bfafcd51b0e50d,879,847,32,297,1148,260,True
294,98,98,dolma3,user,663c4c3990d4fa05582c21e4f00d93d5cc60aac581acd793802e6797dcb00831,1024,992,32,34,1028,0,False
295,98,98,dolma3,assistant,663c4c3990d4fa05582c21e4f00d93d5cc60aac581acd793802e6797dcb00831,1024,992,32,38,1032,0,False
296,98,98,dolma3,tool,663c4c3990d4fa05582c21e4f00d93d5cc60aac581acd793802e6797dcb00831,1024,992,32,36,1032,0,False
297,99,99,dolma3,user,2a9813fbdf08c519b3592966acde4b55a5c2e8f0f4f22a8f9b16c359939977f9,378,346,32,34,382,0,False
298,99,99,dolma3,assistant,2a9813fbdf08c519b3592966acde4b55a5c2e8f0f4f22a8f9b16c359939977f9,378,346,32,38,386,0,False
299,99,99,dolma3,tool,2a9813fbdf08c519b3592966acde4b55a5c2e8f0f4f22a8f9b16c359939977f9,378,346,32,36,385,0,False
300,100,100,dolma3,user,717afb8659ea892f7671ba8e87a40971d63996f813edc94021b63fdb80459e0d,1024,992,32,52,1046,17,True
301,100,100,dolma3,assistant,717afb8659ea892f7671ba8e87a40971d63996f813edc94021b63fdb80459e0d,1024,992,32,57,1051,17,True
302,100,100,dolma3,tool,717afb8659ea892f7671ba8e87a40971d63996f813edc94021b63fdb80459e0d,1024,992,32,54,1050,17,True
303,101,101,dolma3,user,28df054ba48e9a07d9f5ae9845d6aceec15723c54c20a8bb23e54b9f35674c62,462,430,32,40,472,5,True
304,101,101,dolma3,assistant,28df054ba48e9a07d9f5ae9845d6aceec15723c54c20a8bb23e54b9f35674c62,462,430,32,45,477,5,True
305,101,101,dolma3,tool,28df054ba48e9a07d9f5ae9845d6aceec15723c54c20a8bb23e54b9f35674c62,462,430,32,42,476,5,True
306,102,102,dolma3,user,39304862f063205370e83f7cea017be58786cf904181ce542bc51382db0752b3,277,245,32,37,284,2,True
307,102,102,dolma3,assistant,39304862f063205370e83f7cea017be58786cf904181ce542bc51382db0752b3,277,245,32,42,289,2,True
308,102,102,dolma3,tool,39304862f063205370e83f7cea017be58786cf904181ce542bc51382db0752b3,277,245,32,39,288,2,True
309,103,103,dolma3,user,489689014d6ee6c2c7cbfae3b2c0e5fc3f2723d50d717aaba91ce04ef50434bf,871,839,32,53,894,18,False
310,103,103,dolma3,assistant,489689014d6ee6c2c7cbfae3b2c0e5fc3f2723d50d717aaba91ce04ef50434bf,871,839,32,58,899,18,False
311,103,103,dolma3,tool,489689014d6ee6c2c7cbfae3b2c0e5fc3f2723d50d717aaba91ce04ef50434bf,871,839,32,55,897,18,False
312,104,104,dolma3,user,fcf5c7eaa1127486f20d30b179f807fed60101acfacee591e89952692d25c91a,646,614,32,113,729,78,False
313,104,104,dolma3,assistant,fcf5c7eaa1127486f20d30b179f807fed60101acfacee591e89952692d25c91a,646,614,32,118,734,78,False
314,104,104,dolma3,tool,fcf5c7eaa1127486f20d30b179f807fed60101acfacee591e89952692d25c91a,646,614,32,115,732,78,False
315,105,105,dolma3,user,eb7aab0d37853c78bc7bfdb0616d4327f4588f980cbe71fecf0737501722ba01,149,117,32,52,171,17,False
316,105,105,dolma3,assistant,eb7aab0d37853c78bc7bfdb0616d4327f4588f980cbe71fecf0737501722ba01,149,117,32,57,176,17,False
317,105,105,dolma3,tool,eb7aab0d37853c78bc7bfdb0616d4327f4588f980cbe71fecf0737501722ba01,149,117,32,54,174,17,False
318,106,106,dolma3,user,5654b1629889c70923dfe513b3c4d493776d73dfd6b5d8273e4259ea10139e9f,260,228,32,149,379,115,False
319,106,106,dolma3,assistant,5654b1629889c70923dfe513b3c4d493776d73dfd6b5d8273e4259ea10139e9f,260,228,32,154,384,115,False
320,106,106,dolma3,tool,5654b1629889c70923dfe513b3c4d493776d73dfd6b5d8273e4259ea10139e9f,260,228,32,151,382,115,False
321,107,107,dolma3,user,a33319bf26767d14f3e16dbb3a22a73d45c7e289cc9cebfbfc0c2aa6bf7d49e5,1024,992,32,302,1296,267,True
322,107,107,dolma3,assistant,a33319bf26767d14f3e16dbb3a22a73d45c7e289cc9cebfbfc0c2aa6bf7d49e5,1024,992,32,307,1301,267,True
323,107,107,dolma3,tool,a33319bf26767d14f3e16dbb3a22a73d45c7e289cc9cebfbfc0c2aa6bf7d49e5,1024,992,32,304,1300,267,True
324,108,108,dolma3,user,bd552946c2d12e8b9c3f9e0743ed3b029faf5ae084dc6e0a209a477686d0c97c,1024,992,32,64,1058,29,True
325,108,108,dolma3,assistant,bd552946c2d12e8b9c3f9e0743ed3b029faf5ae084dc6e0a209a477686d0c97c,1024,992,32,69,1063,29,True
326,108,108,dolma3,tool,bd552946c2d12e8b9c3f9e0743ed3b029faf5ae084dc6e0a209a477686d0c97c,1024,992,32,66,1062,29,True
327,109,109,dolma3,user,e2ce19b7c088beda93070f7273ded06063e3c49355785cbc8bdf24510dc8e4b5,519,487,32,39,528,4,True
328,109,109,dolma3,assistant,e2ce19b7c088beda93070f7273ded06063e3c49355785cbc8bdf24510dc8e4b5,519,487,32,44,533,4,True
329,109,109,dolma3,tool,e2ce19b7c088beda93070f7273ded06063e3c49355785cbc8bdf24510dc8e4b5,519,487,32,41,532,4,True
330,110,110,dolma3,user,8f9b66cb83842b54754eff1061e5123f262b5cb7ee212868e3aad2554b6f9fea,396,364,32,58,424,23,False
331,110,110,dolma3,assistant,8f9b66cb83842b54754eff1061e5123f262b5cb7ee212868e3aad2554b6f9fea,396,364,32,63,429,23,False
332,110,110,dolma3,tool,8f9b66cb83842b54754eff1061e5123f262b5cb7ee212868e3aad2554b6f9fea,396,364,32,60,427,23,False
333,111,111,dolma3,user,e20d61378b488cc18bb62ed5e539de2dbf3206edf75f3fba99a4de829a506d78,410,378,32,130,510,95,True
334,111,111,dolma3,assistant,e20d61378b488cc18bb62ed5e539de2dbf3206edf75f3fba99a4de829a506d78,410,378,32,135,515,95,True
335,111,111,dolma3,tool,e20d61378b488cc18bb62ed5e539de2dbf3206edf75f3fba99a4de829a506d78,410,378,32,132,514,95,True
336,112,112,dolma3,user,b7ffb8481926bc67e0281d662d4b384f5c5a316741fb4544ddbc3839e47b94d0,1000,968,32,46,1016,11,False
337,112,112,dolma3,assistant,b7ffb8481926bc67e0281d662d4b384f5c5a316741fb4544ddbc3839e47b94d0,1000,968,32,51,1021,11,False
338,112,112,dolma3,tool,b7ffb8481926bc67e0281d662d4b384f5c5a316741fb4544ddbc3839e47b94d0,1000,968,32,48,1019,11,False
339,113,113,dolma3,user,95ca1e4b1681868b264a2e53de8d0f7c18c0ec560cfa0e14a74ee15691844c6e,1024,992,32,64,1058,30,False
340,113,113,dolma3,assistant,95ca1e4b1681868b264a2e53de8d0f7c18c0ec560cfa0e14a74ee15691844c6e,1024,992,32,69,1063,30,False
341,113,113,dolma3,tool,95ca1e4b1681868b264a2e53de8d0f7c18c0ec560cfa0e14a74ee15691844c6e,1024,992,32,66,1061,30,False
342,114,114,dolma3,user,8141e45e1228aece37037a0bb72b86d73581e9b9aac30e69b26f8ef5647793d5,1024,992,32,43,1037,8,True
343,114,114,dolma3,assistant,8141e45e1228aece37037a0bb72b86d73581e9b9aac30e69b26f8ef5647793d5,1024,992,32,48,1042,8,True
344,114,114,dolma3,tool,8141e45e1228aece37037a0bb72b86d73581e9b9aac30e69b26f8ef5647793d5,1024,992,32,45,1041,8,True
348,116,116,dolma3,user,9e8a197c3a50c5cd83aa512bbea51e91d852f3d3d310e225948dde7c3fce0f1d,543,511,32,36,549,1,True
349,116,116,dolma3,assistant,9e8a197c3a50c5cd83aa512bbea51e91d852f3d3d310e225948dde7c3fce0f1d,543,511,32,41,554,1,True
350,116,116,dolma3,tool,9e8a197c3a50c5cd83aa512bbea51e91d852f3d3d310e225948dde7c3fce0f1d,543,511,32,38,553,1,True
351,117,117,dolma3,user,1df6daae97f54df3c6638fe48132757f27220c086bd9f790e8d32fffacef492a,386,354,32,55,411,20,True
352,117,117,dolma3,assistant,1df6daae97f54df3c6638fe48132757f27220c086bd9f790e8d32fffacef492a,386,354,32,60,416,20,True
353,117,117,dolma3,tool,1df6daae97f54df3c6638fe48132757f27220c086bd9f790e8d32fffacef492a,386,354,32,57,415,20,True
354,118,118,dolma3,user,04c00c4ed988738f204b5a900a307a36b4c56cbe99be2f47e198386b13fa50e7,1024,992,32,56,1050,21,True
355,118,118,dolma3,assistant,04c00c4ed988738f204b5a900a307a36b4c56cbe99be2f47e198386b13fa50e7,1024,992,32,61,1055,21,True
356,118,118,dolma3,tool,04c00c4ed988738f204b5a900a307a36b4c56cbe99be2f47e198386b13fa50e7,1024,992,32,58,1054,21,True
357,119,119,dolma3,user,b00da6a0731c097944be4f5ab84c489af9afda99eb06451711da12b94d2d35d9,927,895,32,163,1060,128,False
358,119,119,dolma3,assistant,b00da6a0731c097944be4f5ab84c489af9afda99eb06451711da12b94d2d35d9,927,895,32,168,1065,128,False
359,119,119,dolma3,tool,b00da6a0731c097944be4f5ab84c489af9afda99eb06451711da12b94d2d35d9,927,895,32,165,1063,128,False
360,120,120,dolma3,user,f3ea8a148a7fe3e7ef9eb53a194ab9b53778d64af4c24a8e6a9f52571915608c,179,147,32,66,215,31,True
361,120,120,dolma3,assistant,f3ea8a148a7fe3e7ef9eb53a194ab9b53778d64af4c24a8e6a9f52571915608c,179,147,32,70,219,31,True
362,120,120,dolma3,tool,f3ea8a148a7fe3e7ef9eb53a194ab9b53778d64af4c24a8e6a9f52571915608c,179,147,32,68,219,31,True
363,121,121,dolma3,user,705d054face6b819cfb132209d6811c4891871927779ff7577b0d5dfeb3f4caa,654,622,32,52,676,17,True
364,121,121,dolma3,assistant,705d054face6b819cfb132209d6811c4891871927779ff7577b0d5dfeb3f4caa,654,622,32,57,681,17,True
365,121,121,dolma3,tool,705d054face6b819cfb132209d6811c4891871927779ff7577b0d5dfeb3f4caa,654,622,32,54,680,17,True
366,122,122,dolma3,user,de81217497fd401585d799a4917fb28b44f2274b4e501282a33cf19f21845457,794,762,32,120,884,85,False
367,122,122,dolma3,assistant,de81217497fd401585d799a4917fb28b44f2274b4e501282a33cf19f21845457,794,762,32,124,888,85,False
368,122,122,dolma3,tool,de81217497fd401585d799a4917fb28b44f2274b4e501282a33cf19f21845457,794,762,32,122,887,85,False
369,123,123,dolma3,user,1886ce299dd3ab8cc7cf217aaa9b25c93d447fc16c6012bc0b947c7c68a1d248,1024,992,32,36,1030,1,True
370,123,123,dolma3,assistant,1886ce299dd3ab8cc7cf217aaa9b25c93d447fc16c6012bc0b947c7c68a1d248,1024,992,32,41,1035,1,True
371,123,123,dolma3,tool,1886ce299dd3ab8cc7cf217aaa9b25c93d447fc16c6012bc0b947c7c68a1d248,1024,992,32,38,1034,1,True
372,124,124,dolma3,user,965ceab52061c66a75cc8197a2537b56dd0743ccd750d1aff7afd7a1a0fad1da,176,144,32,50,196,15,False
373,124,124,dolma3,assistant,965ceab52061c66a75cc8197a2537b56dd0743ccd750d1aff7afd7a1a0fad1da,176,144,32,55,201,15,False
374,124,124,dolma3,tool,965ceab52061c66a75cc8197a2537b56dd0743ccd750d1aff7afd7a1a0fad1da,176,144,32,52,199,15,False
375,125,125,dolma3,user,30442fec37071a6764a18043108c6e7eddcebec67c79f5d6e74cc2045f525dea,1024,992,32,162,1156,128,False
376,125,125,dolma3,assistant,30442fec37071a6764a18043108c6e7eddcebec67c79f5d6e74cc2045f525dea,1024,992,32,167,1161,128,False
377,125,125,dolma3,tool,30442fec37071a6764a18043108c6e7eddcebec67c79f5d6e74cc2045f525dea,1024,992,32,164,1160,128,False
378,126,126,dolma3,user,a1b679e9192e990ee7d88d640ab2bca3a68c738a2670541628a0f33c4a1dd8cd,828,796,32,85,883,50,True
379,126,126,dolma3,assistant,a1b679e9192e990ee7d88d640ab2bca3a68c738a2670541628a0f33c4a1dd8cd,828,796,32,90,888,50,True
380,126,126,dolma3,tool,a1b679e9192e990ee7d88d640ab2bca3a68c738a2670541628a0f33c4a1dd8cd,828,796,32,87,887,50,True
381,127,127,dolma3,user,58334125922b5b8318eff9967c24b50826137323c8894630af60f2b0596fe6cb,128,96,32,53,151,18,True
382,127,127,dolma3,assistant,58334125922b5b8318eff9967c24b50826137323c8894630af60f2b0596fe6cb,128,96,32,57,155,18,True
383,127,127,dolma3,tool,58334125922b5b8318eff9967c24b50826137323c8894630af60f2b0596fe6cb,128,96,32,55,155,18,True
384,128,128,dolma3,user,867734ddb0695c4ed56aee5a821a459fdc5ec38810b325704db30c78b1a3c482,1024,992,32,81,1075,46,True
385,128,128,dolma3,assistant,867734ddb0695c4ed56aee5a821a459fdc5ec38810b325704db30c78b1a3c482,1024,992,32,86,1080,46,True
386,128,128,dolma3,tool,867734ddb0695c4ed56aee5a821a459fdc5ec38810b325704db30c78b1a3c482,1024,992,32,83,1079,46,True
387,129,129,dolma3,user,e6aea6ec25596b1e96dcdf845b2109509ce1a6e307f3705aa31c60bc8d972651,1024,992,32,63,1057,28,True
388,129,129,dolma3,assistant,e6aea6ec25596b1e96dcdf845b2109509ce1a6e307f3705aa31c60bc8d972651,1024,992,32,68,1062,28,True
389,129,129,dolma3,tool,e6aea6ec25596b1e96dcdf845b2109509ce1a6e307f3705aa31c60bc8d972651,1024,992,32,65,1061,28,True
390,130,130,dolma3,user,5cae73e0bdb102463b7826d0233ae1c52d73a9a22ab0b7e56b421d069fe2cdaa,1024,992,32,35,1029,0,True
391,130,130,dolma3,assistant,5cae73e0bdb102463b7826d0233ae1c52d73a9a22ab0b7e56b421d069fe2cdaa,1024,992,32,39,1033,0,True
392,130,130,dolma3,tool,5cae73e0bdb102463b7826d0233ae1c52d73a9a22ab0b7e56b421d069fe2cdaa,1024,992,32,37,1033,0,True
393,131,131,dolma3,user,3443fa4cba92ac8bbd3f305762042c42f60bf787a0c07519b7e298c186fde33e,280,248,32,134,384,99,False
394,131,131,dolma3,assistant,3443fa4cba92ac8bbd3f305762042c42f60bf787a0c07519b7e298c186fde33e,280,248,32,139,389,99,False
